City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,Shizunai-furukawacho,42.3339,142.3669,283.56,75,43,3.39,JP,1714254005
151,Linhares,-19.3911,-40.0722,295.25,78,25,1.95,BR,1714253900
152,Aasiaat,68.7098,-52.8699,272.66,97,99,2.85,GL,1714253906
153,Albox,37.3886,-2.1495,286.66,48,61,2.93,ES,1714254006
154,Bakal,54.9417,58.8083,286.97,81,95,4.46,RU,1714254006
155,Ilulissat,69.2167,-51.1,274.16,93,100,2.06,GL,1714253908
156,Antonio enes,-16.2325,39.9086,297.58,76,39,5.29,MZ,1714254006
157,Lakatoro,-16.0999,167.4164,301.28,81,68,3.7,VU,1714254006
158,Ugoofaaru,5.6667,73.0,302.51,74,97,1.86,MV,1714253912
159,Saipan,15.1355,145.701,301.54,74,20,6.69,MP,1714253936
160,Majene,-3.5403,118.9707,297.92,92,87,2.41,ID,1714254006
161,Saint croix,17.7397,-64.7388,299.79,76,100,1.34,VI,1714254006
162,Antsiranana,-12.2787,49.2917,298.9,82,99,4.2,MG,1714253901
163,Gidam,18.9833,81.4,301.77,44,0,0.14,IN,1714254006
164,Bereznik,62.8551,42.7072,276.72,95,100,3.47,RU,1714254006
165,Bandrele,-12.9067,45.1914,302.01,79,20,6.17,YT,1714254006
166,Sisimiut,66.9395,-53.6735,272.89,90,90,1.3,GL,1714253924
167,Sayyan,15.1718,44.3244,289.65,56,23,0.7,YE,1714254006
168,Harper,4.375,-7.7169,301.23,84,91,3.18,LR,1714253914
169,Kirishi,59.4471,32.0205,279.28,75,11,2.02,RU,1714254007
170,Alofi,-19.0595,-169.9187,302.09,70,75,7.2,NU,1714254007
171,Sheopur,25.6667,76.7,301.36,16,7,0.68,IN,1714254007
172,Reggane,26.7158,0.1714,302.54,12,94,4.4,DZ,1714254007
173,Atar,20.5169,-13.0499,298.51,52,96,3.91,MR,1714254007
174,Lauro de freitas,-12.8944,-38.3272,302.16,70,20,4.63,BR,1714253808
175,Banjarmasin,-3.3244,114.591,300.23,94,100,0.69,ID,1714254007
176,Santa cruz,-17.8,-63.1667,304.18,58,20,8.23,BO,1714254002
177,Guangyuan,32.442,105.823,293.42,80,93,0.48,CN,1714254007
178,Ak'ordat,15.5486,37.8867,304.33,26,53,0.55,ER,1714254007
179,Puerto ayora,-0.7393,-90.3518,304.13,90,21,3.58,EC,1714253908
180,Ochobo,7.183,7.9769,303.17,62,85,1.88,NG,1714254008
181,Djambala,-2.5447,14.7533,295.43,81,84,1.36,CG,1714254008
182,Praia da vitoria,38.7333,-27.0667,288.29,72,40,5.35,PT,1714253920
183,Cuatro cienegas de carranza,26.9833,-102.0833,308.48,5,0,3.62,MX,1714254008
184,Kroya,-7.6331,109.2461,298.69,93,100,1.33,ID,1714254008
185,Kedougou,12.5579,-12.1743,310.42,21,90,1.27,SN,1714254008
186,Fauske,67.2588,15.3918,278.68,70,25,3.09,NO,1714254008
187,Weno,7.4515,151.8468,301.94,78,100,9.22,FM,1714253916
188,Langxiang,46.95,128.8833,277.36,70,79,2.86,CN,1714254008
189,Palmer,42.1584,-72.3287,290.93,30,75,6.69,US,1714253938
190,Pisco,-13.7,-76.2167,297.18,69,0,8.75,PE,1714253645
191,Lompoc,34.6391,-120.4579,297.6,65,0,10.73,US,1714253886
192,Sujiatun,41.6592,123.3392,284.25,62,0,3.0,CN,1714254009
193,Piedimonte matese,41.3508,14.368,287.38,79,65,2.12,IT,1714253969
194,Dwarka,22.2394,68.9678,299.65,78,100,5.54,IN,1714254009
195,Paphos,34.7667,32.4167,292.03,94,100,1.54,CY,1714254009
196,Lyudinovo,53.8664,34.4478,279.71,84,78,1.0,RU,1714254009
197,Nueve de julio,-35.4444,-60.8831,286.46,52,25,2.26,AR,1714253898
198,Villa dolores,-31.9459,-65.1896,288.81,75,49,3.9,AR,1714253940
199,Longyearbyen,78.2186,15.6401,271.06,93,75,0.51,SJ,1714253900
200,Wailua homesteads,22.0669,-159.378,298.59,82,75,4.63,US,1714253905
201,Mungwi,-10.1732,31.3694,286.87,82,1,1.71,ZM,1714254009
202,Rikaze,29.25,88.8833,277.07,40,0,2.31,CN,1714254009
203,Selfoss,63.9331,-20.9971,278.17,67,10,3.04,IS,1714254009
204,Susuman,62.7833,148.1667,268.14,95,100,1.79,RU,1714253914
205,Sumbe,-11.2061,13.8437,299.08,83,2,3.32,AO,1714254010
206,Jaisalmer,26.9147,70.9181,300.74,34,56,4.51,IN,1714254010
207,Arraial do cabo,-22.9661,-42.0278,298.07,78,0,6.69,BR,1714253908
208,Puerto leguizamo,-0.1934,-74.7819,300.62,86,59,1.02,CO,1714254010
209,Kabinda,-6.1333,24.4833,292.76,89,44,1.41,CD,1714254010
210,Gambela,8.25,34.5833,300.02,63,100,1.82,ET,1714254010
211,Langepas,61.2544,75.2124,276.75,93,100,4.24,RU,1714254010
212,Springbok,-29.6643,17.8865,288.86,50,0,2.31,ZA,1714254010
213,Agadez,19.75,10.25,304.07,10,0,3.31,NE,1714254010
214,St. john's,47.5649,-52.7093,275.36,79,75,9.26,CA,1714253883
215,Tinghir,31.5157,-5.5343,290.55,32,87,2.32,MA,1714254010
216,Kailua-kona,19.6406,-155.9956,301.64,73,20,6.17,US,1714253902
217,Holbrook,40.8123,-73.0784,285.95,48,75,6.17,US,1714254011
218,Fortuna,40.5982,-124.1573,288.11,69,100,6.17,US,1714253904
219,Khandyga,62.6667,135.6,267.0,91,100,1.06,RU,1714253921
220,Qaqortoq,60.7167,-46.0333,272.39,94,100,1.88,GL,1714253911
221,Hadibu,12.65,54.0333,301.11,73,97,2.96,YE,1714253924
222,Luau,-10.7073,22.2247,290.28,68,5,1.69,AO,1714254011
223,Berezniki,59.4152,56.8124,287.39,92,95,4.43,RU,1714254011
224,Qurayyat,31.3318,37.3428,299.25,21,75,5.14,SA,1714254011
225,Silopi,37.2497,42.4694,290.8,34,5,2.82,TR,1714254011
226,Port saint john's,-31.6229,29.5448,290.61,82,32,3.85,ZA,1714254011
227,Repentigny,45.7422,-73.4501,292.26,27,100,4.12,CA,1714253876
